type,return,profit,hold_days
AI_S2,0.14904618348597864,6628.440000000002,120
AI_S2,0.06724023443138849,3144.1500000000087,120
AI_S2,0.06807048660512072,3200.790000000008,120
AI_S2,0.05151303367160032,2461.0800000000017,120
AI_S2,0.03168703808982354,1070.1599999999962,120
AI_S2,0.03713744876013414,1256.4000000000015,120
AI_S2,0.0390582213452797,1339.3399999999965,120
AI_S2,0.24581259900197927,8510.160000000003,120
AI_S2,0.29354489885484947,10380.64,120
AI_S2,-0.10766452014685302,-4785.379999999997,4
AI_S2,-0.1372885787383915,-6311.619999999995,26
AI_S2,-0.14718327091232708,-6845.019999999997,29
AI_S2,-0.12859756132392797,-5853.0999999999985,32
AI_S2,-0.11849160737233688,-5331.299999999996,33
AI_S2,0.16780703443415423,6257.379999999997,120
AI_S2,0.1874040125595644,7079.82,120
AI_S2,0.17362419879618218,6579.68,120
AI_S2,0.17472941343696258,6588.840000000004,120
AI_S2,0.1491656958629517,5759.379999999997,120
AI_S2,0.13073183463393034,5149.139999999999,120
AI_S2,0.07509659984592187,2994.540000000001,120
AI_S2,0.09520785790269426,3832.399999999994,120
AI_S2,0.15072284337824016,5999.360000000001,120
AI_S2,0.17577233082949406,6971.439999999995,120
AI_S2,-0.08259062133855055,-3889.6399999999994,51
AI_S2,-0.08211194781654729,-3865.0800000000017,103
AI_S2,-0.13652467383432731,-6081.68,7
AI_S2,-0.10803830710430573,-4471.9000000000015,4
AI_S2,-0.09570281322875263,-3681.1800000000003,2
AI_S2,0.4097465052722242,15127.799999999996,120
AI_S2,0.4708298642575566,16377.120000000003,120
AI_S2,0.35897364372582574,13641.020000000004,120
AI_S2,0.33049393279761086,12908.279999999999,120
AI_S2,0.3476435050033566,13806.780000000006,120
AI_S2,0.3977784055886584,15487.900000000001,120
AI_S2,0.3994548763026322,15449.900000000001,120
AI_S2,0.4076760902148644,15813.779999999999,120
AI_S2,0.4091457223309709,15634.439999999995,120
AI_S2,0.4256657778808872,15999.440000000002,120
AI_S2,0.3888444198676724,15273.14,120
AI_S2,0.4193818821580988,16338.119999999995,120
AI_S2,0.3716659673013345,15039.559999999998,120
AI_S2,0.3663883868716775,14827.760000000002,120
AI_S2,0.36334893262013956,14921.279999999999,120
AI_S2,0.37710820680320567,15496.5,120
